Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
Celerra File Server,517 Control Station in CNS-xxx,1-Feb-04,31-Dec-06,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,yes,yes,1-Dec-15,19
Celerra File Server,CFS-14,1-May-96,30-Apr-05,30-Apr-10,30-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,19
Celerra File Server,CNS-14,1-Sep-03,31-Dec-06,31-Dec-11,31-Dec-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,19
Celerra Gateway,NS40 (Gateway),1-Aug-06,29-Jan-10,31-Jan-15,31-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,yes,Yes,1-Dec-15,15
Celerra Gateway,NS40 NEBS (Gateway),1-Mar-07,31-Jul-10,31-Jul-15,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,NS500G,1-Sep-04,30-Apr-07,30-Apr-12,30-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,NS600G,1-Aug-03,31-Jan-05,31-Jul-10,31-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,NS700G (1st generation),1-Feb-04,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,NS700G (2nd generation),1-Aug-04,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,NS704G,1-Aug-04,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
