Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,,,,,,,,,,
Celerra Gateway,NSXRACK/NSXRACKU,01-May-2005,31-Jul-2009,31-Jul-2014,31-Jul-2014,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra Gateway,VG2 (with DART 6.x),09-Sep-2010,28-Feb-2011,28-Feb-2016,28-Feb-2016,Yes,No,No,No,No,24-Apr-2011,,,,,,,,,,
Celerra Gateway,VG8 (with DART 6.x),09-Sep-2010,28-Feb-2011,28-Feb-2016,28-Feb-2016,Yes,No,No,No,No,24-Apr-2011,,,,,,,,,,
Celerra NS,NS-120,10-Dec-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
Celerra NS,NS20,14-Aug-2007,31-Jul-2009,31-Jul-2014,31-Jul-2014,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS350,01-Mar-2006,31-Mar-2008,31-Mar-2013,31-Mar-2013,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
Celerra NS,NS40,01-Aug-2006,31-Jul-2009,31-Jul-2014,31-Jul-2014,Yes,No,No,Yes,No,31-May-2013,,,,,,,,,,
Celerra NS,NS40 DC NEBS,01-Mar-2007,31-Jul-2010,31-Jul-2015,31-Jul-2015,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS40G DC NEBS,01-Aug-2006,31-Jul-2009,31-Jul-2015,31-Jul-2015,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS-480,10-Dec-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
Celerra NS,NS500,01-Sep-2004,30-Apr-2007,30-Apr-2012,30-Apr-2012,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS600,01-Dec-2002,31-Jan-2005,31-Jul-2010,31-Jul-2010,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS700 (1st generation),01-Feb-2004,31-Mar-2007,31-Mar-2012,31-Mar-2012,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS700 (2nd generation),01-Aug-2004,31-Mar-2007,31-Mar-2012,31-Mar-2012,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS704 (Integrated),01-Nov-2005,31-Mar-2007,31-Mar-2012,31-Mar-2012,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS80,01-Nov-2006,31-Jul-2009,31-Jul-2014,31-Jul-2014,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS80G,01-Nov-2006,31-Jul-2009,31-Jul-2014,31-Jul-2014,Yes,No,No,No,No,31-Mar-2013,,,,,,,,,,
Celerra NS,NS-960,02-Mar-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
Celerra NX4,NX4,22-Aug-2008,30-Jun-2012,30-Jun-2017,30-Jun-2017,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
Centera,Generation 1,01-Apr-2002,28-Feb-2004,28-Feb-2009,28-Feb-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Centera,Generation 2,01-Feb-2003,31-Dec-2004,31-Dec-2009,31-Dec-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Centera,Generation 3,01-Dec-2004,31-Mar-2006,31-Mar-2011,31-Mar-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Centera,Generation 4  1.2 TB,01-May-2005,01-Jul-2007,28-Feb-2013,28-Feb-2013,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Centera,Generation 4  2.0 TB,02-Oct-2006,01-Mar-2008,28-Feb-2013,28-Feb-2013,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Centera,Generation 4 LP 12 TB,19-Nov-2012,,,,Yes,Yes,No,No,No,19-Feb-2013,,,,,,,,,,
